author,rating,title,review,updated,version,country
Yoioyoypapapapap,1,lah,"Dih apk ngelag bnget, udah Booking lewat apk jg masih sama aj nunggu lama, trus gunanya ni apk apa nah?",2025-05-05T08:12:57-07:00,2.0.6,id
Intan nurmalasari,5,Pelayanan servis,Saya pelanggan setia sanjaya motor karna servis memuaskan,2025-04-20T23:52:57-07:00,2.0.6,id
Hmmm0824,2,"Terlalu banyak Iklan, berguna tidak?","Terlalu banyak iklan jadi teralihkan dari tujuan utama saat buka aplikasi. Booking service lewat aplikasi, begitu datang ke bengkel sesuai waktu bahkan sebelum tetap saja antri manual. Jadi fungsi booking service untuk apa?",2025-04-17T21:08:16-07:00,2.0.6,id
nadyawrdnta,5,scoopy prestige,"sangat puas sm pelayanannya, selain cantik mbanya sopan, ramah sukses terus untuk mba berliana",2025-04-16T19:12:08-07:00,2.0.6,id
serahluuu dahh,1,BOKING ONLEN GAK GUNA,"Percuma boking onlen jauh hari, sampe bengkel tetep ikut antri biasa HAHAHAHA PEMBODOHAN",2025-04-09T20:10:06-07:00,2.0.6,id
dafayusuf,1,Tukar coucher,Untuk tukar voucher makan dan lain2 tolong bisa langsung tuker banyak kayak sebelumnya. Jangan seperti sekarang hanya bisa tuker voucher 1kali dalam seminggu,2025-04-09T05:49:02-07:00,2.0.6,id
ghost_iris,3,Jenis service,"Bagian jenis service bikin binggung tidak menjelaskan keterangan service apa yg di dilakukan hanya kode2 dan harga.
Mungkin bisa di tambahkan keterangan yg jelas update selanjutnya.",2025-04-07T21:12:25-07:00,2.0.6,id
gubthamp,5,ok,"aplikasi dan layanan ok, semua keluhan diselesaikan",2025-03-20T23:52:09-07:00,2.0.5,id
adivijar,1,paku bumi,wahhhhhh keren banget,2025-03-19T19:21:41-07:00,2.0.5,id
A Djw,3,Service Honda Booking App,"Service Honda Booking via App sangat menguntungkan, kita jadi prioritas, apalg sy dpt special gift🙏🙏",2025-03-07T14:40:13-07:00,2.0.4,id
Adhien Sr,5,Service motor,Mantab,2025-03-04T17:35:29-07:00,2.0.4,id
dewiswhyn,5,mantapp,mau servis jadi cepat tidak perlu antri lama,2025-02-28T18:40:27-07:00,2.0.4,id
Johnnytuyul,5,Nice,Bagus,2025-02-28T03:41:31-07:00,2.0.4,id
RahayuT,5,PROMO,"Promo di Motorku X sangat menari, bagus dan bermanfaat. Semoga kedepannya banyak promo-promo menarik dan bermanfaat untuk pengguna Motorku X",2025-02-26T21:45:28-07:00,2.0.4,id
iqbal rivaldi,5,Aplikasi keren,"Aplikasinya bagus bisa simpan track record kita service, jadi motor kesayangan tetap terawat dengan baik✨

Bisa pakai kode referalku biar dapet promo menarik lainnya: RADN3567",2025-02-26T20:31:42-07:00,2.0.4,id
Rosidul mohtaz,5,Butuh banget vouchernya,Aplikasinya sangat membantu dan mudah,2025-02-26T03:18:51-07:00,2.0.4,id
afiq noer,5,kode referal: AFI9Y791,"sangatt worth it, kalau mau service tinggal booking aja tidak perlu datang antri",2025-02-26T02:15:10-07:00,2.0.4,id
alfiaaaaaan,5,motorku x,aplikasi yang baek dan bermanfaat,2025-02-26T02:15:01-07:00,2.0.4,id
aja13781,5,mantap,mau service motor jadi lebih mudah dan cepat,2025-02-26T02:06:38-07:00,2.0.4,id
Muhamad Ardianto Hidayat,5,Pelayanan,"Pelayanan administrasi dan informasi pelayanan sangat bagus, tapi untuk daerah ambon tenaga kerjanya tolong yang lebih profesional. Saya punya pengalaman servis yang kurang baik",2025-02-26T02:06:32-07:00,2.0.4,id
Agus bayu PP,5,Penilain motorku X,Semakin mudan efisien dan simple,2025-02-22T04:41:47-07:00,2.0.4,id
m./32,5,MUHZA846,"Aplikasi nya mantep bgt sangat membantu🔥🔥
MUHZA846",2025-02-22T02:15:21-07:00,2.0.4,id
Shelagrashella,5,Review,Memudahkan pengguna baru untuk servis motor nya,2025-02-22T02:04:49-07:00,2.0.4,id
Aliando0207,5,SERVICE PERAWATAN,"Sebentar Lagi Mudik, Pastikan Motor dalam keadaan Aman sehingga mudik terasa nyaman, selalu service perawatan berkala di ahhas resmi. Gunakan Aplikasi motorku X untuk memudahkan mudiker antri tanpa ribet,
ubur-ubur Ikan leLe
Ini Kode refferalku Le

RB1VKGFM",2025-02-21T16:55:05-07:00,2.0.4,id
Callmenih,5,Sangat membantu untuk meperbaiki motor,"Sangat baik dalam pelayanan dan juga ramah, kita jadi lebih mudah dalam melakukan perbaikan motor",2025-02-20T18:50:29-07:00,2.0.4,id
shelya14,5,mudah & banyak fitur,"servis sekarang lebih mudah, cek harga motor terbaru honda juga mudah, app ada voucher promo lumayan hihi & banyak fitur menarik lainnya.

jangan lupa pake kode referral aku yaah 
SHEEE530",2025-02-19T09:19:31-07:00,2.0.4,id
